molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,lipinski
CHEMBL3674518,21.0,nM,CCN(/N=C(\C)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1)C(N)=O,7.67778070526608,424.15716363600006,7,1,2.6660999999999992,True
CHEMBL3651403,21.0,nM,C/C(=N\OCCO)c1ccc2nnc([C@@H](C)c3cc4cccnc4cc3F)n2n1,7.67778070526608,394.15535206800007,8,1,2.696300000000001,True
CHEMBL4114735,21.0,nM,C/C(=N\N1CCNC1=O)c1ccc2nnc(C(F)(F)c3ccc4ncccc4c3)n2n1,7.67778070526608,422.14151357200006,7,1,2.5618000000000007,True
CHEMBL3335763,21.0,nM,O=c1ccc(-c2cccc(C(F)(F)F)c2)nn1C[C@@H]1CN(c2ncc(-c3cnn(C4CCNCC4)c3)cn2)CCO1,7.67778070526608,566.2365568280002,10,1,3.4125000000000014,True
CHEMBL3335771,21.0,nM,CN1CCC(n2cc(-c3cnc(N4CCO[C@H](Cn5nc(-c6ccc(F)c(F)c6)ccc5=O)C4)nc3)cn2)CC1,7.67778070526608,548.2459786400001,10,0,3.014100000000001,True
CHEMBL1822759,21.0,nM,O=C(Cc1ccc(O)nc1)N/N=C1\C(=O)Nc2c(Cl)ccc(Cl)c21,7.67778070526608,364.01299554,5,3,2.1090999999999998,True
CHEMBL3947404,21.0,nM,CCC(F)(F)C1=C(C#N)C(c2ccc3[nH]nc(C)c3c2)C(C#N)=C(C)N1,7.67778070526608,353.1452019840001,4,2,4.1786800000000035,True
CHEMBL1098475,21.0,nM,O=C(Nc1ccccc1)c1cccnc1Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,7.67778070526608,439.144453036,5,3,5.885200000000003,True
CHEMBL1642142,21.0,nM,CNC(=O)c1cccc(F)c1Nc1nc(Nc2ccc3c(c2)OCCCN3CCN2CCCC2)ncc1Cl,7.67778070526608,539.2211791320001,8,3,4.800600000000004,True
CHEMBL3759319,21.2,nM,Cn1cc(-c2ccc(=O)n(Cc3cccc(Nc4ncc(-c5cncs5)cn4)c3)n2)cn1,7.673664139071248,442.1324281960001,10,1,3.3492000000000006,True
CHEMBL4459121,21.4,nM,CC(=O)Nc1cc(Oc2ccc(Nc3nccc4[nH]cc(-c5ccc(F)cc5)c(=O)c34)cc2F)ccn1,7.669586226650809,499.145595908,6,3,5.757600000000003,True
CHEMBL2442127,21.4,nM,CC(Sc1cc(-c2cnn(C3CCOCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,7.669586226650809,466.07971587200007,6,1,6.1780000000000035,True
