smiles,molecular_weight,n_hba,n_hbd,logp,lipinski,fingerprint_df,predicted_pIC50,cid,patentID
C1CC=C(C(=C1)CCC2=CC(=O)N3C(=N2)N=C(N3)C4=CC=CC=C4)CC(F)(F)F,400.151095888,4.0,1.0,4.616200000000004,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 0 1
 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1
 1 0 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 0]",9.637745,143995637,None
CC1=C(C(=O)N2C(=N1)N=C(N2)C(F)(F)F)CC3=CC=C(C=C3)C(C)C,350.13544582400004,4.0,1.0,3.4590200000000024,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 1 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 0 1 1 1 0 0 1
 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0 0
 1 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.632777,6485735,"['US-2017216295-A1', 'US20170216295A1', 'WO2016018773A1']"
CCCC1=C(C(=NC2=NC=NN12)N(CC)CC)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,467.2545919280001,8.0,1.0,4.360900000000004,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0
 1 0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1
 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 0]",9.601676,3074914,"['US5387747', 'US5387747A']"
CCCC1=NC2=NC=NN2C(=C1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)N(CC)CC,467.25459192800014,8.0,1.0,4.360900000000003,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 0 0 0
 1 0 0 1 1 1 0 1 0 1 1 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 1 0 1
 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 0]",9.601676,3074907,"['US5387747', 'US5387747A', 'WO-9317024-A1']"
CC1=CC=C(C=C1)C2=C(C(=O)N3C(=N2)N=C(N3)N)CC4=CC(=CC=C4)Cl,365.104337812,5.0,2.0,3.2194200000000013,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 1
 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 1 1 1 0 0
 1 0 1 1 0 0 1 1 1 0 1 0 1 1 1 1 1 1 0]",9.576393,155530253,None
CCC1=C(C(=O)N2C(=N1)N=CN2)CC3=CC(=C(C=C3)Cl)C(F)(F)F,356.065173344,4.0,1.0,3.243000000000001,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1
 1 1 1 1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0
 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.551269,53373588,"['WO-2011114148-A1', 'WO2011114148A1']"
CC1=CC=C(C=C1)C2=NC3=NC(=CC(=O)N3N2)CC4=CC=C(C=C4)F,334.12298932000004,4.0,1.0,3.122920000000001,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 0 0 1 1 1 0 0 1
 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0
 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.546725,155531229,None
CC1=CC=C(C=C1)C2=NC3=NC(=CC(=O)N3N2)CC4=CC=C(C=C4)Cl,350.09343878000004,4.0,1.0,3.637220000000002,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 1
 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0
 1 0 0 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.449411,155550337,None
CC1=C(C(=O)N2C(=N1)N=C(N2)C(F)(F)F)CC3=CC=C(C=C3)Cl,342.04952328,4.0,1.0,2.989020000000001,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 1
 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0
 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.447169,6485731,None
CC1=C(C(=O)N2C(=N1)N=C(N2)C(F)(F)F)CC3=CC(=CC=C3)Cl,342.04952328,4.0,1.0,2.989020000000001,True,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 1 0 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 0 0 1
 0 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0
 1 0 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 0]",9.447169,6485733,None
