name,smiles,Tox-score,SAscore
0,CNC(=O)c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.5066888062818313,0.195201947778528
1,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,0.5148357516521977,0.18906687834566652
2,COc1ccc2c(OCc3nnc4ncc(-c5ccccc5)nn34)ccnc2c1,0.5461159303484026,0.2339183889800199
3,Cc1c(O)ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc12.O=C(O)C(F)(F)F,0.4637496023273075,0.12001361114112519
4,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,0.42185661140224306,0.06575214395528917
5,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccncc3)nc21,0.4898635170590821,0.09321657193553098
6,CC(N=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,0.5021931661374338,0.07763354709342857
7,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3cnn(C)c3)nc21,0.46459990602678486,0.06280187404464979
8,Oc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,0.5352420877729046,0.21571078408715372
9,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(OCc5ccc(C(=O)Nc6ccccc6N)cc5)ccc34)n2)cn1,0.4398004011724547,0.1796200143283924
10,Cn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,0.553834831893657,0.18342229625907722
11,Fc1ccc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cc1,0.5234480004725869,0.17502394183356496
12,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(CCO)c3)nc21,0.4836435626464414,0.06720113041327097
13,c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,0.5593580985124865,0.2544372368156204
14,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,0.4838199900258558,0.07582768660812245
15,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4ccc5ncc(-c6cnn(C)c6)cc5c4)c3n2)cc1F,0.4512574921823719,0.08523376693414665
16,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccncc3)nc21,0.4623684800714966,0.0711070784853212
17,C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,0.48547777394401104,0.09682255334294597
18,FC(F)(c1ccc2ncccc2c1)c1nnc2ncc(-c3ccco3)nn12,0.5305976005361175,0.1458432100513476
19,Cn1cc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,0.532907449890996,0.13490811109985099
20,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0.490983634544587,0.0820811801051508
21,COc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,0.5475765024389939,0.23360895113272975
22,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,0.44182067071081976,0.07528959029850044
23,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(C)c3)nc21,0.4891799005808913,0.07235506093480858
24,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,0.4412598261615165,0.0849884364429322
25,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,0.4645342804467279,0.10732678891406089
26,C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,0.49352713622915667,0.10533284328126472
27,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3ccncc3)nc21,0.4877743200679232,0.08203838106746435
28,Cc1ccc(C(=O)Nc2ccc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)c(F)c2)c(=O)n1-c1ccccc1,0.46877396306799884,0.17646151078517167
29,CC(C)n1cc(C(=O)Nc2ccc(Oc3ccnc(NC(=O)C4CC4)c3)c(F)c2)c(=O)n(-c2ccc(F)cc2)c1=O,0.4840424382318314,0.1777003180644945
30,O=C(NC1CCCNC1)c1ccc(-c2cc(F)c3ncc(Cc4ccc5ncccc5c4)n3c2)cc1F,0.44254859614476993,0.10141912407297675
31,CCCn1cc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,0.5145492781576104,0.13060587023278314
32,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4c(F)cc5ncc(-c6cnn(C)c6)cc5c4F)c3n2)cc1F,0.4395151718179265,0.06617137606806262
33,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(OCCCCCC(=O)Nc5ccccc5N)ccc34)n2)cn1,0.4455514087063937,0.17379849504493874
34,C[C@H]1CN(c2cnc3ccc(Sc4nnc5c(F)cc(-c6cnn(C)c6)cn45)cc3c2)C[C@@H](C)N1,0.4676647686369934,0.05650858615165522
35,COc1cnc2ccc([C@H](C)n3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,0.4342579878362897,0.07096050358468584
36,Cc1nc([C@H](C)NC(=O)c2ccc(-c3cnc4ncc(Cc5ccc6ncccc6c5)n4n3)cc2Cl)no1,0.46421399831171717,0.08707363528611706
37,COCCOc1cnc2ccc(Cn3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,0.45697865524761727,0.12034961686949641
38,Cn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1,0.5013966197304118,0.20236840541141676
39,COC1CCN(c2cnc3ccc(Sc4nnc5c(F)cc(-c6cnn(C)c6)cn45)cc3c2)CC1,0.4904826404725609,0.13022890436672352
40,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1Cl,0.5253925210706119,0.19105519103611884
41,COCCOc1cnc2ccc([C@H](C)n3nnc4ccn(-c5cc(C)ns5)c(=O)c43)cc2c1,0.442438634494091,0.06844640297766647
42,Cn1cc(-c2ccc3nnc(Sc4ccc5ncc(NCCO)cc5c4)n3c2)cn1,0.5561214222829608,0.16117936040826308
43,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,0.5494216247300503,0.16490788587033856
44,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cn1,0.5185342802662678,0.17946688151369636
45,O=c1c2cc(CS(=O)(=O)NCc3ccccn3)ccc2ccc2ncc(-c3cnn(C4CCNCC4)c3)cc12,0.43576966535161593,0.14024887276234277
46,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1C,0.5266171871511965,0.19165132955719316
47,Cn1cc(-c2cc(F)c3nnc(Sc4ccc5ncc(N6CCC(F)(F)CC6)cc5c4)n3c2)cn1,0.4569557828389199,0.11371032020835316
48,CC1=NC(C)=C(C#N)C(c2ccc3[nH]nc(OCCOC(C)C)c3c2)C1C#N,0.519879888890254,0.05656932207272504
49,CC(=O)CCCCCOc1ccc2c(OCCn3nc(-c4cnn(C)c4)ccc3=O)ccnc2c1,0.45924895425078727,0.19086678373273516
50,Nc1nccc(Oc2ccc(NC(=O)c3cccn(-c4ccc(F)cc4)c3=O)cc2F)c1Cl,0.5041951915702788,0.2310698830782833
