molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL3582305,0.13,nM,CNC(=O)c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693163
CHEMBL3188267,0.13,nM,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,9.886056647693163
CHEMBL3797911,0.19,nM,COc1ccc2c(OCc3nnc4ncc(-c5ccccc5)nn34)ccnc2c1,9.721246399047171
CHEMBL3674547,0.2,nM,C/C(=N\NC(N)=O)c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1,9.698970004336019
CHEMBL2032280,0.2,nM,Cc1c(O)ccc2nc(-c3cc(-c4cnn(C5CCNCC5)c4)cnc3N)oc12.O=C(O)C(F)(F)F,9.698970004336019
CHEMBL3674540,0.2,nM,N=C(NNC(N)=O)c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,9.698970004336019
CHEMBL3674521,0.2,nM,C/C(=N\NC(N)=O)c1ccc2nnc([C@@H](C)c3ccc4ncccc4c3)n2n1,9.698970004336019
CHEMBL4104884,0.3,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21,9.522878745280337
CHEMBL4061378,0.3,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3ccncc3)nc21,9.522878745280337
CHEMBL3674541,0.3,nM,NC(=O)N/N=C/c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1,9.522878745280337
CHEMBL3674515,0.3,nM,C/C(=N\NC(N)=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,9.522878745280337
CHEMBL2376640,0.32,nM,C[C@@H](Oc1c[nH]c(=O)c(C(=O)NC2CCOCC2)c1)c1c(Cl)ccc(F)c1Cl,9.494850021680094
CHEMBL3651418,0.4,nM,CC(N=O)c1ccc2nnc(Cc3c(F)cc4ncccc4c3F)n2n1,9.397940008672037
CHEMBL4070258,0.4,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.397940008672037
CHEMBL3674505,0.4,nM,C/C(=N\NC(N)=O)c1ccc2ncc([C@@H](C)c3ccc4ncccc4c3)n2n1,9.397940008672037
CHEMBL3674495,0.4,nM,C/C(=N\NC(N)=O)c1ccc2ncc(Cc3c(F)cc4ncccc4c3F)n2n1,9.397940008672037
CHEMBL4097173,0.4,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3cnn(C)c3)nc21,9.397940008672037
CHEMBL3674548,0.4,nM,CC(=O)N/N=C(\C)c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1,9.397940008672037
CHEMBL3800471,0.42,nM,Oc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,9.3767507096021
CHEMBL4214018,0.44,nM,Cn1cc(-c2ccc(=O)n(CCOc3ccnc4cc(OCc5ccc(C(=O)Nc6ccccc6N)cc5)ccc34)n2)cn1,9.356547323513812
CHEMBL3797914,0.46,nM,Cn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,9.337242168318426
CHEMBL3797579,0.46,nM,Fc1ccc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cc1,9.337242168318426
CHEMBL3651416,0.48,nM,C/C(=N\OC(N)=O)c1ccc2nnc([C@H](C)c3c(F)cc4ncccc4c3F)n2n1,9.318758762624412
CHEMBL4074262,0.48,nM,CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.318758762624412
CHEMBL3799192,0.49,nM,c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,9.309803919971486
CHEMBL4064183,0.5,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.301029995663981
CHEMBL4091023,0.5,nM,CNC(=O)c1ccc(-c2cnc3nnn(C(C)c4ccc5ncc(-c6cnn(C)c6)cc5c4)c3n2)cc1F,9.301029995663981
CHEMBL3674550,0.5,nM,C/C(=N\NC(=O)c1ccncc1)c1cnc2nnn(Cc3cc4cccnc4cc3F)c2n1,9.301029995663981
CHEMBL4076438,0.5,nM,CC(c1c(F)cc2ncc(-c3cnn(C)c3)cc2c1F)n1nnc2ncc(-c3ccncc3)nc21,9.301029995663981
CHEMBL2431835,0.5,nM,C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,9.301029995663981
CHEMBL1230609,0.5,nM,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,9.301029995663981
CHEMBL3919012,0.5,nM,O=C(Cc1ccc2c(c1)CCO2)N/N=C1\CNc2cc(C(=O)NCCCCN3CCC[C@H]3CO)cc(Br)c21,9.301029995663981
CHEMBL1822369,0.5,nM,O=C(Cc1ccc2c(c1)CCO2)N/N=C1\C(=O)Nc2cc(C(=O)NCCCN3CCC[C@@H]3CO)cc(Br)c21,9.301029995663981
CHEMBL3674524,0.5,nM,C/C(=N\NC(N)=O)c1ccc2nnc(C(C)c3c(F)cc4ncccc4c3F)n2n1,9.301029995663981
CHEMBL3798905,0.5,nM,FC(F)(c1ccc2ncccc2c1)c1nnc2ncc(-c3ccco3)nn12,9.301029995663981
CHEMBL3800420,0.5,nM,Cn1cc(-c2cnc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,9.301029995663981
CHEMBL4073110,0.5,nM,CC(c1ccc2ncc(-c3cnn(C)c3)cc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,9.301029995663981
